SEASON,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,NBA_FANTASY_PTS,DD2,TD3,TEAM_COUNT,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE,POSS
2025-26,203083,Andre Drummond,1610612755,PHI,32.0,63,19.535687830687827,2.5238095238095237,5.349206349206349,0.5079365079365079,1.4285714285714286,0.8412698412698413,1.3333333333333333,3.1746031746031744,5.26984126984127,8.444444444444445,1.2698412698412698,0.9682539682539683,0.6031746031746031,0.7777777777777778,0.3333333333333333,1.9841269841269842,1.3333333333333333,6.396825396825397,21.60952380952381,0.2698412698412698,0.0,1,0.09,1.31,15.5,0.145,0.264,0.202,11.8,0.519,0.539,0.143,100.54,0.113,40.904761904761905
2025-26,1641748,Andre Jackson Jr.,1610612749,MIL,24.0,48,8.502256944444445,0.8125,2.4791666666666665,0.3125,1.25,0.4166666666666667,0.6666666666666666,0.5208333333333334,0.9791666666666666,1.5,0.8958333333333334,0.6458333333333334,0.3958333333333333,0.08333333333333333,0.125,0.8958333333333334,0.5625,2.3541666666666665,6.289583333333333,0.0,0.0,1,0.16,1.39,20.7,0.059,0.126,0.09,14.9,0.391,0.425,0.17,100.27,0.044,17.6875
2025-26,1629614,Andrew Nembhard,1610612754,IND,26.0,57,31.326198830409353,5.842105263157895,13.210526315789474,1.8771929824561404,5.192982456140351,3.3859649122807016,4.105263157894737,0.43859649122807015,2.3684210526315788,2.807017543859649,7.666666666666667,2.4035087719298245,0.8947368421052632,0.14035087719298245,0.6666666666666666,2.210526315789474,3.2982456140350878,16.94736842105263,32.51754385964912,0.22807017543859648,0.0,1,0.37,3.19,30.6,0.013,0.075,0.044,9.6,0.513,0.564,0.233,102.27,0.111,66.64912280701755
2025-26,203952,Andrew Wiggins,1610612748,MIA,31.0,68,30.33232843137255,5.735294117647059,12.073529411764707,2.0294117647058822,4.897058823529412,1.8676470588235294,2.3823529411764706,1.6911764705882353,3.1470588235294117,4.838235294117647,2.676470588235294,1.5147058823529411,1.1176470588235294,1.0147058823529411,0.6029411764705882,2.2941176470588234,1.8529411764705883,15.367647058823529,30.070588235294117,0.029411764705882353,0.0,1,0.123,1.77,15.5,0.051,0.098,0.074,8.8,0.559,0.586,0.194,104.97,0.092,66.42647058823529
2025-26,1629014,Anfernee Simons,1610612741,CHI,27.0,55,24.944242424242425,5.181818181818182,11.781818181818181,2.6545454545454548,6.890909090909091,1.2545454545454546,1.4,0.5636363636363636,1.8909090909090909,2.4545454545454546,2.4363636363636365,1.2363636363636363,0.4909090909090909,0.14545454545454545,0.509090909090909,1.709090909090909,1.1090909090909091,14.272727272727273,21.545454545454547,0.0,0.0,2,0.151,1.97,15.3,0.021,0.075,0.047,7.7,0.552,0.576,0.227,97.42,0.096,50.74545454545454
2025-26,1641710,Anthony Black,1610612753,ORL,22.0,64,29.84453125,5.390625,12.0625,1.5625,4.6875,2.640625,3.609375,0.734375,3.078125,3.8125,3.6875,2.0625,1.421875,0.703125,0.84375,2.65625,2.921875,14.984375,29.403125,0.03125,0.0,1,0.185,1.79,19.1,0.024,0.101,0.062,10.7,0.512,0.549,0.219,101.05,0.09,62.6875
2025-26,203076,Anthony Davis,1610612764,WAS,33.0,20,31.2815,8.45,16.7,0.5,1.85,2.95,4.05,3.1,7.95,11.05,2.8,2.05,1.1,1.65,0.7,2.1,4.35,20.35,44.010000000000005,0.65,0.0,1,0.14,1.37,12.1,0.099,0.24,0.172,8.9,0.521,0.551,0.272,101.27,0.151,66.25
2025-26,1630162,Anthony Edwards,1610612750,MIN,24.0,61,35.02612021857924,9.868852459016393,20.18032786885246,3.360655737704918,8.426229508196721,5.704918032786885,7.163934426229508,0.5901639344262295,4.360655737704918,4.950819672131147,3.7049180327868854,2.8524590163934427,1.360655737704918,0.8032786885245902,0.47540983606557374,1.9344262295081966,4.459016393442623,28.80327868852459,43.94098360655738,0.03278688524590164,0.0,1,0.174,1.3,12.4,0.017,0.12,0.069,9.6,0.572,0.617,0.309,101.5,0.145,74.09836065573771
2025-26,1630264,Anthony Gill,1610612764,WAS,33.0,55,17.289939393939395,2.4545454545454546,3.909090909090909,0.3090909090909091,0.8727272727272727,0.6181818181818182,0.8363636363636363,1.0545454545454545,1.8181818181818181,2.8727272727272726,1.2545454545454546,0.6545454545454545,0.5636363636363636,0.38181818181818183,0.4,1.6,1.0545454545454545,5.836363636363636,13.347272727272728,0.0,0.0,1,0.101,1.92,20.4,0.059,0.112,0.084,10.6,0.667,0.682,0.116,104.11,0.08,37.527272727272724
2025-26,1641810,Antonio Reeves,1610612766,CHA,25.0,10,6.767666666666666,1.0,2.0,0.7,1.3,0.0,0.0,0.2,0.6,0.8,0.3,0.1,0.1,0.0,0.1,0.3,0.0,2.7,4.3100000000000005,0.0,0.0,1,0.068,3.0,12.5,0.029,0.1,0.062,4.2,0.675,0.675,0.133,93.27,0.099,13.3
2025-26,1630574,Ariel Hukporti,1610612752,NYK,24.0,54,9.221512345679011,0.8333333333333334,1.4814814814814814,0.018518518518518517,0.07407407407407407,0.48148148148148145,0.6111111111111112,1.037037037037037,1.9074074074074074,2.9444444444444446,0.5370370370370371,0.5925925925925926,0.16666666666666666,0.48148148148148145,0.14814814814814814,1.2407407407407407,0.5925925925925926,2.1666666666666665,7.857407407407408,0.0,0.0,1,0.08,0.91,18.7,0.104,0.192,0.148,20.6,0.569,0.619,0.104,100.1,0.084,19.25925925925926
